,Title,Subtitle,Link
40,GOOD CALL,All the best Pay by Mobile casinos revealed - and how to make the most of them,https://www.thesun.co.uk/betting/21296516/pay-by-mobile-casino-uk-2023/
41,HAT-TRICK,Shock for Ryan Reynolds as cops find cocaine in Wrexham's toilets on 3 occasions,https://www.thesun.co.uk/sport/25945891/shock-ryan-reynolds-cops-find-cocaine-wrexham-toilets/
42,GOOD BAY,Forgotten Man Utd star wanted in transfer after five months and just one game,https://www.thesun.co.uk/sport/25985388/manchester-united-altay-bayindir-transfer-galatasaray/
43,GIFT OF THE GAB,Arsenal star Gabriel Martinelli lined up for sensational Barcelona transfer,https://www.thesun.co.uk/sport/25950564/gabriel-martinelli-barcelona-transfer-shortlist-arsenal/
44,JOBE WELL DONE,Jobe Bellingham ‘lined up for huge transfer as giants target Sunderland duo’,https://www.thesun.co.uk/sport/25969864/jobe-bellingham-jack-clarke-lazio-transfer-sunderland/
45,HANNS OFF,Sevilla 'RULE OUT signing Man Utd star on permanent deal' after he plays 36 mins,https://www.thesun.co.uk/sport/25985872/sevilla-rule-out-man-utd-hannibal-permanent-deal-loan/
46,GUNNERS LATEST,"Barcelona 'closely follow' Martinelli, Ivan Toney transfer TWIST",https://www.thesun.co.uk/sport/25954703/arsenal-transfer-news-live-martinelli-ivan-toney-kylian-mbappe/
47,UNITED LATEST,"Man Utd chief quizzed about Mbappe, De Zerbi 'admired' by Red Devils",https://www.thesun.co.uk/sport/25976558/man-utd-transfer-news-live-mbappe-frenkie-de-jong/
48,BEE LIKE US,Brentford have earned more profit in two years than Man Utd have in 31 SEASONS,https://www.thesun.co.uk/sport/25937423/brentford-man-utd-profit-losses/
49,BURNLEY VS ARSENAL,Gunners eye fifth straight win as they travel to Prem strugglers,https://www.thesun.co.uk/sport/25906248/burnley-vs-arsenal-premier-league-team-news-stream-tv/
50,UNITED FRONT,Maguire reveals Man Utd stars left 'really impressed' by Sir Jim Ratcliffe,https://www.thesun.co.uk/sport/25947301/harry-maguire-jim-ratcliffe-man-utd-meeting/
51,COURT ORDER,Chelsea dumped me by EMAIL.. now I'm back with FA Cup fairytale chasers,https://www.thesun.co.uk/sport/25965301/chelsea-riley-court-email-fa-cup-maidstone/
52,MAN DOWN,Man Utd injury blow with FOUR stars ruled out of Luton clash,https://www.thesun.co.uk/sport/25963360/man-utd-injury-luton-wan-bissaka-shaw-mount-malacia/
53,STAR MAN,Kevin De Bruyne punishes hesitant Dream Team bosses with 20-point exhibition,https://www.thesun.co.uk/sport/football/dream-team/25932639/kevin-de-bruyne-form-assists-minutes-fantasy-football/
54,HAMMER BLOW,Transfer time? Jarrod Bowen's form cause for concern among Dream Team managers,https://www.thesun.co.uk/sport/football/dream-team/25911804/jarrod-bowen-west-ham-form-fantasy-football-transfer/
55,RICE RICE BABY,Star showing shines light on Declan Rice ahead of favourable double Gameweek,https://www.thesun.co.uk/sport/football/dream-team/25905017/declan-rice-arsenal-favourable-double-gameweek-fantasy-football/
56,DAVE KIDD,West Ham fans who left Arsenal clash before half-time were heroes,https://www.thesun.co.uk/sport/25972204/west-ham-fans-heroes-left-stadium-arsenal-column/
57,TROY DEENEY,Social media under fire after Silva's Wag slated Poch but stars can't be robots,https://www.thesun.co.uk/sport/25842688/troy-deeney-social-media-football-debate/
58,NEIL CUSTIS,Man Utd need to sign a midfielder and striker - not demolish Old Trafford,https://www.thesun.co.uk/sport/25892726/man-utd-old-trafford-stadium-transfers-comment-custis/
59,LOOKING REDDY,Sky presenter Melissa Reddy branded 'flawless' as she shares workout snap,https://www.thesun.co.uk/sport/25975683/sky-sports-presenter-melissa-reddy-workout-leggings-sports-top/
60,SPECIAL BRU,Neymar's ex branded 'too hot to handle' as she wows in barely there outfit,https://www.thesun.co.uk/sport/25932548/neymar-ex-bruna-marquezine-instagram/
61,BOEU-TIFUL ROSE,Chelsea legend's daughter strips to racy black lingerie for Valentine's Day,https://www.thesun.co.uk/sport/25938874/chelsea-frank-leboeuf-daughter-jade-valentines-day/
